exterior_color,interior_color,location,make,model,mileage,style,year,engine,accidentCount,ownerCount,isCleanTitle,isFrameDamaged,isLemon,isSalvage,isTheftRecovered,price
"Ruby Black Metallic","Amaro Brown","Commack, NY",BMW,X5,29712,"xDrive35i AWD",2018,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,33895
"Deep Sea Blue Metallic",Unknown,"Riverhead, NY",BMW,X3,87013,"xDrive28i AWD",2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,15634
"Mineral White Metallic",Unknown,"Patchogue, NY",BMW,"5 Series",64273,"535i xDrive Sedan",2016,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,21495
"Mineral White Metallic",Cognac,"Commack, NY",BMW,X3,31628,xDrive30i,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,29895
"Mineral White Metallic",Black,"Commack, NY",BMW,X5,56720,"xDrive35i AWD",2018,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,29795
"Fluid Black W/Bmw I Frozen Blue Accent","Deka Dark","Medford, NY",BMW,i3,7525,"s 120 Ah with Range Extender",2019,"0.6L Inline-2 Electric",0,1,1,0,0,0,0,29590
"Jet Black",Unknown,"Patchogue, NY",BMW,X1,82240,"xDrive28i AWD",2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,17995
"Carbon Black Metallic",Black,"Freeport, NY",BMW,"5 Series",52811,"530i xDrive",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,1,0,0,0,20495
"Jet Black",Oyster,"Patchogue, NY",BMW,"3 Series",25710,"330i xDrive Gran Turismo",2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,23849
"Jet Black",Black,"Medford, NY",BMW,"5 Series",59323,"550i Sedan",2010,"4.8L V-8 Gas",0,3,1,0,0,0,0,14990
"Mineral White Metallic",Black,"Commack, NY",BMW,"5 Series",20988,"540i xDrive",2018,"3.0L Inline-6 Gas Turbocharged",1,2,1,0,0,0,0,34095
"Black Sapphire Metallic",Black,"Medford, NY",BMW,M6,56180,Coupe,2009,"5.0L V-10 Gas",0,3,1,0,0,0,0,27990
"Toronto Red Metallic","Adelaide Grey","Bay Shore, NY",BMW,"X3 M",1730,Competition,2020,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,64994
"Mineral White Metallic",Unknown,"Bay Shore, NY",BMW,"6 Series",38189,"640i xDrive Gran Turismo",2018,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,35783
"Jet Black",Black,"West Babylon, NY",BMW,X1,71497,"xDrive28i AWD",2015,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,12490
"Callisto Gray Metallic",Tan,"Bergenfield, NJ",BMW,"5 Series",131044,"528i xDrive Sedan AWD",2014,"2.0L Inline-4 Gas Turbocharged",0,3,1,0,0,0,0,9995
"Jet Black",Black,"Freeport, NY",BMW,"4 Series",42317,"430i xDrive Gran Coupe",2018,"2.0L Inline-4 Gas Turbocharged",0,1,0,0,0,0,1,18810
"Mineral White Metallic",Black,"Freeport, NY",BMW,X6,56828,"xDrive35i AWD",2018,"3.0L Inline-6 Gas Turbocharged",1,1,1,0,0,0,0,32904
"Fluid Black W/Bmw I Frozen Blue Accent","Atelier European Dark","Medford, NY",BMW,i3,5712,"94 Ah",2018,"L - Electric",0,1,1,0,0,0,0,19590
"Titanium Silver Metallic",Black,"Hasbrouck Heights, NJ",BMW,"5 Series",98753,"535xi Touring Wagon AWD",2008,"3.0L Inline-6 Gas Turbocharged",0,2,1,0,0,0,0,7998
"Laurel Gray Metallic W/Bmw I Frozen Blue Accent","Giga Cassia/Spice Gray","Medford, NY",BMW,i3,23966,"60 Ah",2014,"L - Electric",0,3,1,0,0,0,0,11990
"Mineral Gray Metallic","Black W/Red Highlight","Freeport, NY",BMW,"3 Series",47382,"330i xDrive Sedan",2017,"2.0L Inline-4 Gas Turbocharged",1,2,1,0,0,0,0,13618
"Tanzanite Blue Metallic","Black/Dark Oyster","Freeport, NY",BMW,"3 Series",52572,"340i xDrive Sedan",2018,"3.0L Inline-6 Gas Turbocharged",0,1,1,0,0,0,0,23975
"Melbourne Red Metallic",Black,"Wantagh, NY",BMW,"3 Series",13066,"320i xDrive Sedan",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,19490
"Jet Black",Black,"Commack, NY",BMW,"4 Series",27169,"430i xDrive Gran Coupe",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,25594
"Moonlight Blue Metallic","Nougat Brown","Greatneck, NY",Audi,Q5,30969,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,23890
"Brilliant Black",Black,"Hillside, NJ",Audi,A4,81520,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,16895
"Utopia Blue Metallic","Chestnut Brown","Riverhead, NY",Audi,Q3,42306,"Premium with Sport Package quattro",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,18528
"Azores Green Metallic","Nougat Brown","Commack, NY",Audi,Q5,58464,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,24495
"Brilliant Black",Black,"Medford, NY",Audi,A5,19566,"Premium Sportback 45 TFSI quattro",2019,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,31590
"Scuba Blue Metallic",Black,"Amityville, NY",Audi,A4,39911,"Premium Summer of Audi quattro S Tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,21965
"Orca Black Metallic",Unknown,"Patchogue, NY",Audi,Q7,35681,"S-line 3.0T quattro",2011,"3.0L V-6 Gas Supercharged",0,1,1,0,0,0,0,17995
"Florett Silver Metallic",Black,"Lynbrook, NY",Audi,A4,63751,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,17590
"Ibis White","Chestnut Brown","Deer Park, NY",Audi,Q5,56790,"Premium Plus 2.0T quattro",2016,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,20490
"Phantom Black Pearl Effect",Black,"Massapequa, NY",Audi,A6,71466,"Premium Plus Sedan 3.0T quattro Automatic",2014,"3.0L V-6 Gas Supercharged",2,2,1,0,0,0,0,14977
"Matador Red Metallic","Nougat Brown","East Hanover, NJ",Audi,Q5,23782,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,28590
"Moonlight Blue Metallic","Velvet Beige/Dark Carpet","Medford, NY",Audi,A7,69202,"Prestige Sportback 3.0S quattro",2013,"3.0L V-6 Gas Supercharged",0,3,1,0,0,0,0,23990
"Florett Silver Metallic",Black,"Floral Park, NY",Audi,Q5,37325,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,26998
"Moonlight Blue Metallic",Black,"Glen Cove, NY",Audi,A4,27847,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,24500
"Manhattan Gray Metallic",Black,"Jamaica, NY",Audi,Q5,52849,Prestige,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,29980
"Manhattan Gray Metallic","Atlas Beige","Medford, NY",Audi,Q5,84576,Premium,2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,21990
"Monsoon Gray Metallic",Black/Brown,"Cheshire, CT",Audi,S4,121914,"Premium Plus Sedan S tronic",2014,"3.0L V-6 Gas Supercharged",0,1,1,0,0,0,0,14969
"Manhattan Gray Metallic","Nougat Brown","Freeport, NY",Audi,Q5,62251,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,23990
"Night Black",Black,"Rahway, NJ",Audi,Q7,77821,"Premium Plus 3.0T quattro",2014,"3.0L V-6 Gas Supercharged",0,2,1,0,0,0,0,14900
"Florett Silver Metallic",Black,"Medford, NY",Audi,A4,13320,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,28990
"Brilliant Black",Black,"Amityville, NY",Audi,Q5,35742,"Premium Plus 2.0T quattro",2015,"2.0L Inline-4 Gas Turbocharged",1,1,1,0,0,0,0,17965
"Mythos Black Metallic",Black,"Medford, NY",Audi,Q5,47436,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,28990
"Glacier White Metallic","Pearl Beige","Jamaica, NY",Audi,e-tron,22677,Prestige,2019,"L - Electric",0,2,1,0,0,0,0,51980
"Phantom Black Pearl Effect",Black,"Stratford, CT",Audi,A3,70236,"Premium Plus Sedan 2.0T quattro",2015,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,12760
"Phantom Black Pearl",Black,"Medford, NY",Audi,A8,57717,"L 3.0S",2013,"3.0L V-6 Gas Supercharged",0,2,1,0,0,0,0,25590
"Brilliant Black",Black,"Freeport, NY",Audi,Q3,63003,"Premium Plus quattro",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,18990
"Phantom Black Pearl",Black,"Medford, NY",Audi,A8,66878,"L 4.2L",2012,"4.2L V-8 Gas",0,3,1,0,0,0,0,22990
"Dakota Gray Metallic",Black,"Medford, NY",Audi,A6,48517,"Prestige Sedan 3.0T quattro Automatic",2016,"3.0L V-6 Gas Supercharged",0,1,1,0,0,0,0,24990
"Ibis White",Black,"Glen Cove, NY",Audi,Q5,25770,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,28762
"Manhattan Gray Metallic",Black,"Bronx, NY",Audi,A4,40324,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,22290
White,Black,"Medford, NY",Porsche,Panamera,81590,"Turbo S",2012,"4.8L V-8 Gas Turbocharged",0,4,1,0,0,0,0,44990
Silver,Black,"Farmingdale, NY",Porsche,911,21135,"Carrera Cabriolet Manual",2001,"3.4L Flat-6 Gas",0,2,1,0,0,0,0,34900
"Crystal Silver Metallic","Black W/Alcantara","Huntington, NY",Porsche,Cayenne,81356,"GTS Tiptronic AWD",2010,"4.8L V-8 Gas",0,3,1,0,0,0,0,19995
"Amaranth Red Metallic","Luxor Beige","Medford, NY",Porsche,Boxster,21224,S,2014,"3.4L Flat-6 Gas",0,1,1,0,0,0,0,44990
Black,Black,"Farmingdale, NY",Porsche,911,18128,"Carrera Manual",1997,"3.6L Flat-6 Gas",0,4,1,0,0,0,0,89900
Black,Black,"Medford, NY",Porsche,Cayenne,56944,"Diesel AWD",2015,"3.0L V-6 Diesel Turbocharged",0,1,1,0,0,0,0,35990
White,Black,"Hasbrouck Heights, NJ",Porsche,Cayenne,59428,"Turbo AWD",2012,"4.8L V-8 Gas Turbocharged",0,1,1,0,0,0,0,34445
White,Tan,"Commack, NY",Porsche,Macan,29830,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,37595
"Jet Black Metallic",Black,"Jamaica, NY",Porsche,Cayenne,61908,"Platinum Edition AWD",2017,"3.6L V-6 Gas",0,1,1,0,0,0,0,35980
White,Other,"Medford, NY",Porsche,Panamera,9405,"4 AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,70990
"Guards Red",Black,"Milford, CT",Porsche,Cayman,66501,Coupe,2008,"2.7L Flat-6 Gas",0,4,1,0,0,0,0,19855
White,Beige,"Medford, NY",Porsche,Cayenne,44812,"Platinum Edition AWD",2014,"3.6L V-6 Gas",0,1,1,0,0,0,0,30990
"Jet Black Metallic",Brown,"Jamaica, NY",Porsche,Macan,38555,"Turbo AWD",2015,"3.6L V-6 Gas Turbocharged",0,2,1,0,0,0,0,43080
"Rhodium Silver Metallic",Black,"Jamaica, NY",Porsche,"718 Cayman",21437,Coupe,2018,"2.0L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,48230
Red,Black,"Medford, NY",Porsche,Panamera,31090,S,2010,"4.8L V-8 Gas",0,3,1,0,0,0,0,34590
"Carrara White Metallic",Black,"Larchmont, NY",Porsche,Cayenne,44176,"S E-Hybrid Platinum Edition AWD",2017,"3.0L V-6 Plug-In Hybrid Supercharged",0,1,1,0,0,0,0,49498
"Gt Silver Metallic",Black,"Jamaica, NY",Porsche,"718 Cayman",13157,"GTS Coupe",2018,"2.5L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,69980
Black,Black,"Medford, NY",Porsche,Cayman,7089,S,2014,"3.4L Flat-6 Gas",0,1,1,0,0,0,0,53990
"Rhodium Silver Metallic",Black,"Jamaica, NY",Porsche,Macan,54043,"S AWD",2015,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,30480
Black,Espresso,"Mountain Lakes, NJ",Porsche,Cayenne,41080,AWD,2016,"3.6L V-6 Gas",1,2,1,0,0,0,0,29894
Black,Black,"Huntington, NY",Porsche,Cayenne,96595,"GTS AWD",2016,"3.6L V-6 Gas Turbocharged",0,2,1,0,0,0,0,37995
White,Black,"New York, NY",Porsche,Macan,16071,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,42995
Black,Black,"Larchmont, NY",Porsche,Boxster,9278,Roadster,2017,"2.0L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,52996
White,Black,"Manasquan, NJ",Porsche,911,30089,"Carrera Cabriolet",2010,"3.6L Flat-6 Gas",0,5,1,0,0,0,0,53499
Black,Black,"Jamaica, NY",Porsche,Macan,26220,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,36480
"Dark Blue",Tan,"Ridgewood, NY",Porsche,Cayenne,98957,"Tiptronic AWD",2013,"3.6L V-6 Gas",0,1,1,0,0,0,0,17995
White,Black,"Jamaica, NY",Porsche,Macan,8395,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,38980
"Volcano Grey Metallic",Black,"New York, NY",Porsche,Macan,3311,AWD,2020,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,50995
Red,Black,"Staten Island, NY",Porsche,911,15748,"Carrera 4S",2013,"3.8L Flat-6 Gas",1,3,1,0,0,0,0,74999
Black,Black,"Medford, NY",Porsche,Macan,41808,"Sport Edition AWD",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,37590
Black,Black,"Medford, NY",Porsche,Macan,41808,"Sport Edition AWD",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,37590
"Rhodium Silver Metallic",Espresso,"Morristown, NJ",Porsche,Macan,20161,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,33497
"Guards Red","Black/Bordeaux Red","New York, NY",Porsche,911,7312,Turbo,2017,"3.8L Flat-6 Gas Turbocharged",0,2,1,0,0,0,0,133995
"Seal Grey Metallic",Black,"Huntington Station, NY",Porsche,Boxster,26759,S,2006,"3.2L Flat-6 Gas",0,1,1,0,0,0,0,27500
Black,Brown,"Elizabeth, NJ",Porsche,Panamera,113837,4S,2010,"4.8L V-8 Gas",1,6,1,0,0,0,0,21995
Black,Black,"Jamaica, NY",Porsche,Macan,7277,AWD,2019,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,48980
White,"Dk. Brown","Medford, NY",Porsche,Boxster,33333,S,2011,"3.4L Flat-6 Gas",0,2,1,0,0,0,0,40990
"Jet Black Metallic",Black,"Huntington Station, NY",Porsche,Cayenne,6237,"S Coupe AWD",2020,"2.9L V-6 Gas Turbocharged",0,1,1,0,0,0,0,89900
"Carrara White","Natural Brown","Union City, NJ",Porsche,911,49995,"Turbo Cabriolet",2008,"3.6L Flat-6 Gas Turbocharged",0,5,1,0,0,0,0,57995
Black,Black,"Jamaica, NY",Porsche,Macan,29002,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,39480
"Rhodium Silver Metallic",Black,"Huntington Station, NY",Porsche,Macan,31368,"GTS AWD",2018,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,59900
Black,Black,"Medford, NY",Porsche,Macan,21254,"Sport Edition AWD",2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,41990
Black,Black,"Medford, NY",Porsche,Cayman,70155,Coupe,2015,"2.7L Flat-6 Gas",0,2,1,0,0,0,0,33990
"Matte Gray",White,"Westbury, NY",Porsche,Macan,36815,"GTS AWD",2018,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,53900
Black,Black,"Jamaica, NY",Porsche,Macan,43305,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,37480
"Night Blue Metallic",Black,"Bronx, NY",Porsche,Macan,72998,"S AWD",2017,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,30790
"Rhodium Silver Metallic",Black,"Berlin, CT",Porsche,Macan,29254,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,38000
"Miami Blue",Black,"Medford, NY",Porsche,"718 Boxster",5203,Roadster,2018,"2.0L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,55990
Black,Black,"Medford, NY",Porsche,Macan,72809,"S AWD",2016,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,33590
"Volcano Grey Metallic","8-Way Power Seats","Verona, NJ",Porsche,Macan,13655,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,40090
Unknown,"Black/Luxor Beige","Edison, NJ",Porsche,Macan,30945,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,41900
"Agate Grey Metallic",Black,"New York, NY",Porsche,911,29273,"Carrera S Cabriolet",2017,"3.0L Flat-6 Gas Turbocharged",0,1,1,0,0,0,0,93995
"Rhodium Silver Metallic",Black,"Larchmont, NY",Porsche,Cayenne,31290,"Platinum Edition AWD",2017,"3.6L V-6 Gas",0,1,1,0,0,0,0,47491
"Rhodium Silver Metallic",Black,"Lodi, NJ",Porsche,Macan,69436,"S AWD",2015,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,26895
White,Beige,"Medford, NY",Porsche,Panamera,49552,S,2012,"4.8L V-8 Gas",0,4,1,0,0,0,0,36990
"Agate Grey Metallic",Black,"New York, NY",Porsche,911,13437,"Carrera 4 GTS Cabriolet",2018,"3.0L Flat-6 Gas Turbocharged",0,1,1,0,0,0,0,126500
"Jet Black Metallic",Black,"Larchmont, NY",Porsche,911,17049,"Carrera S",2015,"3.8L Flat-6 Gas",0,2,1,0,0,0,0,83991
"Jet Black Metallic",Black,"Avenel, NJ",Porsche,Macan,14629,"GTS AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,55740
White,Espresso,"Jersey City, NJ",Porsche,Cayenne,107973,"S AWD",2013,"4.8L V-8 Gas",0,3,1,0,0,0,0,19972
"Rhodium Silver Metallic",Black,"New York, NY",Porsche,Cayenne,20169,"Platinum Edition AWD",2018,"3.6L V-6 Gas",0,1,1,0,0,0,0,54995
White,"Black/Garnet Red","Huntington Station, NY",Porsche,Macan,33456,"Turbo AWD with Performance Package",2018,"3.6L V-6 Gas Turbocharged",0,1,1,0,0,0,0,69900
White,"Black/Luxor Beige","Larchmont, NY",Porsche,Macan,27956,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,40491
"Rhodium Silver Metallic",Black,"Larchmont, NY",Porsche,Macan,39664,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,36992
"Jet Black Metallic",Black,"Bronx, NY",Porsche,Cayenne,20665,"Platinum Edition AWD",2018,"3.6L V-6 Gas",1,1,1,0,0,0,0,45595
"Carrara White Metallic","Black/Carmine Red","Jamaica, NY",Porsche,Cayenne,56715,"GTS AWD",2018,"3.6L V-6 Gas Turbocharged",0,1,1,0,0,0,0,60980
"Rhodium Silver Metallic",Black,"Huntington Station, NY",Porsche,Macan,34515,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,37900
White,"Black/Luxor Beige","East Hartford, CT",Porsche,Macan,35327,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,39375
Black,Black,"North Plainfield, NJ",Porsche,Cayenne,83665,"Turbo AWD",2013,"4.8L V-8 Gas Turbocharged",0,1,1,0,0,0,0,31900
"Jet Black Metallic",Black,"Wall Township, NJ",Porsche,Macan,20658,"S AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,45995
Black,Red,"Elmont, NY",Porsche,Cayenne,38699,"Platinum Edition AWD",2017,"3.6L V-6 Gas",2,1,1,0,0,0,0,45950
Blue,Grey,"Elizabeth, NJ",Porsche,Panamera,135258,S,2012,"4.8L V-8 Gas",0,2,1,0,0,0,0,22995
"Guards Red",Black,"Larchmont, NY",Porsche,911,26430,"Carrera 4S",2016,"3.8L Flat-6 Gas",0,2,1,0,0,0,0,90993
"Volcano Grey Metallic",Black,"Huntington Station, NY",Porsche,Macan,32992,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,38900
"Night Blue Metallic",Black,"Hillside, NJ",Porsche,Macan,324,AWD,2020,"2.0L Inline-4 Gas Turbocharged",0,0,1,0,0,0,0,49695
"Dark Blue Metallic",Unknown,"Newark, NJ",Porsche,Cayenne,127742,"Turbo AWD",2013,"4.8L V-8 Gas Turbocharged",1,2,1,0,0,0,0,25995
"Carmine Red",Unknown,"Jamaica, NY",Porsche,Macan,41424,"GTS AWD",2017,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,48980
"Dark Blue Metallic",Black,"Secaucus, NJ",Porsche,Macan,46144,"S AWD",2016,"3.0L V-6 Gas Turbocharged",1,1,1,0,0,0,0,35686
"Agate Grey Metallic",Espresso/Cognac,"New York, NY",Porsche,911,16365,"Carrera 4S",2018,"3.0L Flat-6 Gas Turbocharged",0,1,0,0,0,0,1,110995
"Rhodium Silver Metallic","Agate Grey","Hillside, NJ",Porsche,Cayenne,43190,"Platinum Edition AWD",2017,"3.6L V-6 Gas",1,1,1,0,0,0,0,35695
"Racing Yellow",Black,"Medford, NY",Porsche,Boxster,65125,Roadster,2014,"2.7L Flat-6 Gas",0,3,1,0,0,0,0,32990
"Dolomite Silver Metallic",Black,"New York, NY",Porsche,Panamera,31,"4 E-Hybrid AWD",2019,"2.9L V-6 Plug-In Hybrid Turbocharged",0,0,1,0,0,0,0,98995
Black,Gray,"Nanuet, NY",Porsche,Macan,15089,AWD,2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,41900
"Night Blue Metallic","Black/Luxor Beige","Larchmont, NY",Porsche,Panamera,12654,"4 AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,72995
"Purpurite Metallic",Black,"Inwood, NY",Porsche,Cayenne,61825,"Platinum Edition AWD",2018,"3.6L V-6 Gas",0,1,1,0,0,0,0,39995
"Speed Yellow",Black,"Stratford, CT",Porsche,911,24360,"Carrera 997",2005,"3.6L Flat-6 Gas",0,3,1,0,0,0,0,41452
White,Black,"Jamaica, NY",Porsche,Cayenne,37034,AWD,2017,"3.6L V-6 Gas",0,2,1,0,0,0,0,40730
Unknown,Black,"Verona, NJ",Porsche,911,27387,"Carrera 4S",2017,"3.0L Flat-6 Gas Turbocharged",1,1,1,0,0,0,0,87555
"Mahogany Metallic",Unknown,"Verona, NJ",Porsche,Cayenne,11130,"Turbo AWD",2019,"4.0L V-8 Gas Turbocharged",1,2,1,0,0,0,0,102777
"Night Blue Metallic","Black/Luxor Beige","East Hartford, CT",Porsche,Macan,48310,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,35699
"Sapphire Blue Metallic",Black,"New York, NY",Porsche,"718 Boxster",20440,"S Roadster",2018,"2.5L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,66995
"Sapphire Blue Metallic",Black,"New York, NY",Porsche,"718 Boxster",20440,"S Roadster",2018,"2.5L Flat-4 Gas Turbocharged",0,1,1,0,0,0,0,66995
"Rhodium Silver Metallic",Black,"Stratford, CT",Porsche,Macan,97467,"S AWD",2015,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,24993
"Carrara White",Cognac,"Huntington, NY",Porsche,Panamera,71265,Hatchback,2012,"3.6L V-6 Gas",0,2,1,0,0,0,0,28995
"Carrara White Metallic",Black,"New York, NY",Porsche,Cayenne,4761,"Coupe AWD",2020,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,77995
"Carrara White Metallic",Black,"New York, NY",Porsche,Taycan,1813,4S,2020,"L - Electric",0,1,1,0,0,0,0,116500
Unknown,Unknown,"Verona, NJ",Porsche,Panamera,6512,"4 E-Hybrid AWD",2019,"2.9L V-6 Plug-In Hybrid Turbocharged",0,2,1,0,0,0,0,87433
"Volcano Grey Metallic",Black,"East Hartford, CT",Porsche,Macan,9056,AWD,2020,"2.0L Inline-4 Gas Turbocharged",0,0,1,0,0,0,0,52796
"Meteor Grey Metallic","Black/Luxor Beige","New York, NY",Porsche,Cayenne,42320,"S AWD",2017,"3.6L V-6 Gas Turbocharged",0,1,1,0,0,0,0,49995
"Biscay Blue Metallic","Slate Grey","New York, NY",Porsche,Cayenne,1014,AWD,2019,"3.0L V-6 Gas Turbocharged",0,2,1,0,0,0,0,69500
Black,Black,"Medford, NY",Porsche,Cayenne,45541,"S AWD",2013,"4.8L V-8 Gas",0,2,1,0,0,0,0,31990
"Carrara White Metallic",Black,"New York, NY",Porsche,Cayenne,5989,"S AWD",2019,"2.9L V-6 Gas Turbocharged",0,1,1,0,0,0,0,80995
"Dolomite Silver Metallic",Black,"New York, NY",Porsche,Cayenne,4839,"SUV AWD",2020,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,69995
"Mahogany Metallic",Black,"Verona, NJ",Porsche,Cayenne,17811,AWD,2019,"3.0L V-6 Gas Turbocharged",2,1,1,0,0,0,0,58555
Unknown,Unknown,"Ocean, NJ",Porsche,Macan,37219,"S AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,40905
White,Black,"Larchmont, NY",Porsche,Cayenne,19895,AWD,2019,"3.0L V-6 Gas Turbocharged",1,1,1,0,0,0,0,61492
"Night Blue Metallic",Black,"Larchmont, NY",Porsche,Panamera,33012,"4 AWD",2017,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,68198
"Sapphire Blue Metallic",Black,"Jersey City, NJ",Porsche,Macan,94624,"S AWD",2017,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,29982
"Gt Silver Metallic",Black,"Medford, NY",Porsche,"718 Boxster",38131,Roadster,2018,"2.0L Flat-4 Gas Turbocharged",0,3,1,0,0,0,0,50590
"Gt Silver Metallic",Brown,"Medford, NY",Porsche,Panamera,85362,Turbo,2010,"4.8L V-8 Gas Turbocharged",0,3,1,0,0,0,0,33990
"Dark Blue Metallic",Black,"Lodi, NJ",Porsche,Macan,57702,"Turbo AWD",2016,"3.6L V-6 Gas Turbocharged",0,1,1,0,0,0,0,40895
Black,"Black/Garnet Red","New York, NY",Porsche,Cayenne,41722,"Platinum Edition AWD",2017,"3.6L V-6 Gas",0,1,1,0,0,0,0,43995
"Rhodium Silver Metallic",Black,"Larchmont, NY",Porsche,Macan,27902,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,40991
White,Black,"Medford, NY",Porsche,Macan,13082,AWD,2019,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,50990
